"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastViewedDate","LastReferencedDate","nFORCE__App__c","nFORCE__lookupKey__c","nFORCE__Default_Collapse_Parent_Navigation__c","nFORCE__Is_Archived__c","nFORCE__Is_Questionnaire__c","nFORCE__Parent_Group__c","nFORCE__Taxonomy_Id__c","nFORCE__Category__c","nFORCE__Answer_Context__c","Description_Custom__c","nFORCE__Description__c","AutorabitExtId__c"
"a2B8c000000OrYJEA0","0058c00000BxeO9AAJ","false","Reg O Loan Questionnaire","2022-03-29T14:36:02.000Z","0058c00000BxeO9AAJ","2025-07-17T00:33:12.000Z","0058c00000BxeO9AAJ","2025-07-17T00:33:12.000Z","","","Reg-O-Loan-Questionnaire","42403246748782453","false","false","true","","","","","","",""
"a2B8c000000OrYKEA0","0058c00000BxeO9AAJ","false","Reg W","2022-03-29T14:36:02.000Z","0058c00000BxeO9AAJ","2025-07-17T00:33:12.000Z","0058c00000BxeO9AAJ","2025-07-17T00:33:12.000Z","","","Reg-W","42609568878702857","false","false","true","","","","","","",""
"a2B8c000000OrYLEA0","0058c00000BxeO9AAJ","false","HVCRE","2022-03-29T14:36:02.000Z","0058c00000BxeO9AAJ","2025-07-17T00:33:12.000Z","0058c00000BxeO9AAJ","2025-07-17T00:33:12.000Z","","","HVCRE","42088290342052409","false","false","true","","","","","","",""
"a2B8c000000OrYMEA0","0058c00000BxeO9AAJ","false","CRA","2022-03-29T14:36:02.000Z","0058c00000BxeO9AAJ","2025-07-17T00:33:12.000Z","0058c00000BxeO9AAJ","2025-07-17T00:33:12.000Z","","","CRA","42628075973481801","false","false","true","","","","","","",""
"a2B8c000000OrYPEA0","0058c00000BxeO9AAJ","false","HMDA Questionnaire","2022-03-29T14:36:02.000Z","0058c00000BxeO9AAJ","2025-07-17T00:33:12.000Z","0058c00000BxeO9AAJ","2025-07-17T00:33:12.000Z","","","HMDA-questionnaire","42198546854157256","false","false","true","","","","","","",""
"a2B8c000000OrYQEA0","0058c00000BxeO9AAJ","false","Individual KYC","2022-03-29T14:36:02.000Z","0058c00000BxeO9AAJ","2024-11-08T14:39:31.000Z","0058c00000BxeO9AAJ","2024-11-08T14:39:31.000Z","","","","42245838511199639","false","false","true","","","","","","",""
"a2B8c000000OrYREA0","0058c00000BxeO9AAJ","false","Business KYC","2022-03-29T14:36:02.000Z","0058c00000BxeO9AAJ","2025-07-17T00:33:12.000Z","0058c00000BxeO9AAJ","2025-07-17T00:33:12.000Z","","","bus-kyc","42940369988812827","false","false","true","","","","","","",""
"a2B8c000000vxYlEAI","0058c00000BxeO9AAJ","false","QuesMeeta","2023-02-23T12:25:51.000Z","0058c00000BxeO9AAJ","2025-07-17T00:33:12.000Z","0058c00000BxeO9AAJ","2025-07-17T00:33:12.000Z","","","","42787560250831539","false","false","true","","","","","","",""
"a2B8c000004E5rBEAS","0058c00000BxeO9AAJ","false","DAO-Individual-KYC","2023-09-13T06:38:54.000Z","0058c00000BxeO9AAJ","2025-07-17T00:33:12.000Z","0058c00000BxeO9AAJ","2025-07-17T00:33:12.000Z","","","dao-ind-kyc","42109377760315962","false","false","true","","dao-ind-kyc","null","Individual Account","null","null",""
"a2B8c000004E5rCEAS","0058c00000BxeO9AAJ","false","DAO- Individual-Account Due Diligence","2023-09-13T06:38:54.000Z","0058c00000BxeO9AAJ","2025-07-17T00:33:12.000Z","0058c00000BxeO9AAJ","2025-07-17T00:33:12.000Z","","","dao-ind-add","42677444022408553","false","false","true","","dao-ind-add","null","Deposit","null","null",""
"a2B8c000004E5rDEAS","0058c00000BxeO9AAJ","false","ODAO- Business KYC","2023-09-13T06:38:54.000Z","0058c00000BxeO9AAJ","2025-07-17T00:33:12.000Z","0058c00000BxeO9AAJ","2025-07-17T00:33:12.000Z","","","odao-bus-kyc","42245829912861432","false","false","true","","odao-bus-kyc","null","Business Account","null","null",""
"a2B8c000004E5rGEAS","0058c00000BxeO9AAJ","false","Loan Gold Questions","2023-09-13T06:38:54.000Z","0058c00000BxeO9AAJ","2025-07-17T00:33:12.000Z","0058c00000BxeO9AAJ","2025-07-17T00:33:12.000Z","","","","42662481910622078","false","false","true","","","","","","",""
"a2B8c000004E5rLEAS","0058c00000BxeO9AAJ","false","Retail Loan ADD","2023-09-13T06:38:54.000Z","0058c00000BxeO9AAJ","2025-07-17T00:33:12.000Z","0058c00000BxeO9AAJ","2025-07-17T00:33:12.000Z","","","","42161599347242956","false","false","true","","","","","","",""
"a2B8c000004E5rTEAS","0058c00000BxeO9AAJ","false","Q1","2023-09-13T06:38:54.000Z","0058c00000BxeO9AAJ","2025-07-17T00:33:12.000Z","0058c00000BxeO9AAJ","2025-07-17T00:33:12.000Z","","","","42718787324244555","false","false","true","","","","","","",""
"a2B8c000004E5rUEAS","0058c00000BxeO9AAJ","false","CRA","2023-09-13T06:38:54.000Z","0058c00000BxeO9AAJ","2025-07-17T00:33:12.000Z","0058c00000BxeO9AAJ","2025-07-17T00:33:12.000Z","","","","42587259055558994","false","false","true","","","","","","",""
"a2B8c000004E5rVEAS","0058c00000BxeO9AAJ","false","ACH Debit","2023-09-13T06:38:54.000Z","0058c00000BxeO9AAJ","2025-07-17T00:33:12.000Z","0058c00000BxeO9AAJ","2025-07-17T00:33:12.000Z","","","tmmg-ACHDebit00-00","42182351739442362","false","false","false","","","","","","",""
"a2B8c000004E5rWEAS","0058c00000BxeO9AAJ","false","Portal Individual KYC","2023-09-13T06:38:54.000Z","0058c00000BxeO9AAJ","2025-07-17T00:33:12.000Z","0058c00000BxeO9AAJ","2025-07-17T00:33:12.000Z","","","","42425994517788887","false","false","true","","","","Individual Account","","",""
"a2B8c000004E5rXEAS","0058c00000BxeO9AAJ","false","Small Business Retail Lending","2023-09-13T06:38:54.000Z","0058c00000BxeO9AAJ","2025-07-17T00:33:12.000Z","0058c00000BxeO9AAJ","2025-07-17T00:33:12.000Z","","","","42128895100604846","false","false","true","","","","","","",""
"a2B8c000004E5rYEAS","0058c00000BxeO9AAJ","false","Add Product Verification","2023-09-13T06:38:54.000Z","0058c00000BxeO9AAJ","2025-07-17T00:33:12.000Z","0058c00000BxeO9AAJ","2025-07-17T00:33:12.000Z","","","","42679652685732093","false","false","true","","","","","","",""
"a2B8c000004E5rZEAS","0058c00000BxeO9AAJ","false","AML/KYC Questionnaire - Business","2023-09-13T06:38:54.000Z","0058c00000BxeO9AAJ","2025-07-17T00:33:12.000Z","0058c00000BxeO9AAJ","2025-07-17T00:33:12.000Z","","","","42999629887234975","false","false","true","","","","Loan","","",""
"a2B8c000004E5raEAC","0058c00000BxeO9AAJ","false","AML/KYC Questionnaire - Personal","2023-09-13T06:38:54.000Z","0058c00000BxeO9AAJ","2025-07-17T00:33:12.000Z","0058c00000BxeO9AAJ","2025-07-17T00:33:12.000Z","","","","42215833207150863","false","false","true","a2B8c000004E5rVEAS","","Online Application","Individual Account","","",""
"a2B8c000004E5rbEAC","0058c00000BxeO9AAJ","false","SNC","2023-09-13T06:38:54.000Z","0058c00000BxeO9AAJ","2025-07-17T00:33:12.000Z","0058c00000BxeO9AAJ","2025-07-17T00:33:12.000Z","","","","42799096368321312","false","false","true","","","","","","",""
