"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","nFORCE__Condition__c","nFORCE__Conditional_Question__c","nFORCE__Option__c","nFORCE__Question__c","nFORCE__lookupKey__c"
"a2y8c000000CQ5XAAW","0058c00000BxeO9AAJ","false","OR-000298","2024-03-05T13:23:16.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:53.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:53.000Z","equal to","a308c000000Bgq8AAC","a2z8c000000BlfiAAC","a308c000000BgpsAAC","a2yHo000002tj7CIAQ"
"a2y8c000000CQ5YAAW","0058c00000BxeO9AAJ","false","OR-000299","2024-03-05T13:23:16.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:53.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:53.000Z","equal to","a308c000000BgpcAAC","a2z8c000000BlezAAC","a308c000000BgpbAAC","a2yHo000002tj7BIAQ"
"a2y8c000000CQ5ZAAW","0058c00000BxeO9AAJ","false","OR-000300","2024-03-05T13:23:16.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:53.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:53.000Z","equal to","a308c000000Bgq8AAC","a2z8c000000BlfjAAC","a308c000000BgpsAAC","a2yHo000002tj7DIAQ"
"a2y8c000000CQ5aAAG","0058c00000BxeO9AAJ","false","OR-000301","2024-03-05T13:23:16.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:53.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:53.000Z","equal to","a308c000000Bgq8AAC","a2z8c000000BlfkAAC","a308c000000BgpsAAC","a2yHo000002tj7AIAQ"
"a2y8c000000CQ5bAAG","0058c00000BxeO9AAJ","false","OR-000302","2024-03-05T13:23:16.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:53.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:53.000Z","equal to","a308c000000BgptAAC","a2z8c000000BlfIAAS","a308c000000BgpsAAC","a2yHo000002tj7EIAQ"
"a2y8c000000CQ5cAAG","0058c00000BxeO9AAJ","false","OR-000303","2024-03-05T13:23:16.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:53.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:53.000Z","equal to","a308c000000Bgq8AAC","a2z8c000000BlflAAC","a308c000000BgptAAC","a2yHo000002tj7FIAQ"
"a2y8c000000CQ5dAAG","0058c00000BxeO9AAJ","false","OR-000304","2024-03-05T13:23:16.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:53.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:53.000Z","equal to","a308c000000BgpuAAC","a2z8c000000BlfJAAS","a308c000000BgptAAC","a2yHo000002tj7GIAQ"
"a2y8c000000CQ5eAAG","0058c00000BxeO9AAJ","false","OR-000305","2024-03-05T13:23:16.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:53.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:53.000Z","equal to","a308c000000Bgq8AAC","a2z8c000000BlfmAAC","a308c000000BgpuAAC","a2yHo000002tj7HIAQ"
"a2y8c000000CQ5fAAG","0058c00000BxeO9AAJ","false","OR-000306","2024-03-05T13:23:16.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:53.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:53.000Z","equal to","a308c000000BgpVAAS","a2z8c000000BlfKAAS","a308c000000BgpuAAC","a2yHo000002tj7IIAQ"
"a2y8c000000CQ5gAAG","0058c00000BxeO9AAJ","false","OR-000307","2024-03-05T13:23:16.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:53.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:53.000Z","equal to","a308c000000Bgq8AAC","a2z8c000000BlfoAAC","a308c000000BgpVAAS","a2yHo000002tj7JIAQ"
