"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastViewedDate","LastReferencedDate","nFORCE__Label__c","nFORCE__Order__c","nFORCE__Question__c","nFORCE__lookupKey__c","nFORCE__Api_Value__c","nFORCE__Is_Default__c"
"a2z8c000000BlewAAC","0058c00000BxeO9AAJ","false","O-001202","2024-03-05T13:23:10.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:47.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:47.000Z","","","No","2.0","a308c000000BgpcAAC","a2zHo0000022d8pIAA","","false"
"a2z8c000000BlexAAC","0058c00000BxeO9AAJ","false","O-001203","2024-03-05T13:23:10.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:47.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:47.000Z","","","Yes","1.0","a308c000000BgpbAAC","a2zHo0000022d8qIAA","","false"
"a2z8c000000BleyAAC","0058c00000BxeO9AAJ","false","O-001204","2024-03-05T13:23:10.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:47.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:47.000Z","","","Yes","1.0","a308c000000BgpaAAC","a2zHo0000022d8rIAA","","false"
"a2z8c000000BlezAAC","0058c00000BxeO9AAJ","false","O-001205","2024-03-05T13:23:10.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:47.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:47.000Z","","","No","2.0","a308c000000BgpbAAC","a2zHo0000022d8sIAA","","false"
"a2z8c000000Blf0AAC","0058c00000BxeO9AAJ","false","O-001206","2024-03-05T13:23:10.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:47.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:47.000Z","","","No","2.0","a308c000000BgpdAAC","a2zHo0000022d8tIAA","","false"
"a2z8c000000Blf1AAC","0058c00000BxeO9AAJ","false","O-001207","2024-03-05T13:23:10.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:47.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:47.000Z","","","No","2.0","a308c000000BgpeAAC","a2zHo0000022d8uIAA","","false"
"a2z8c000000Blf2AAC","0058c00000BxeO9AAJ","false","O-001208","2024-03-05T13:23:10.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:47.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:47.000Z","","","Yes","1.0","a308c000000BgpfAAC","a2zHo0000022d8vIAA","","false"
"a2z8c000000Blf3AAC","0058c00000BxeO9AAJ","false","O-001209","2024-03-05T13:23:10.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:47.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:47.000Z","","","Yes","1.0","a308c000000BgpgAAC","a2zHo0000022d8wIAA","","false"
"a2z8c000000Blf4AAC","0058c00000BxeO9AAJ","false","O-001210","2024-03-05T13:23:10.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:47.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:47.000Z","","","Yes","1.0","a308c000000BgphAAC","a2zHo0000022d8xIAA","","false"
"a2z8c000000Blf5AAC","0058c00000BxeO9AAJ","false","O-001211","2024-03-05T13:23:10.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:47.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:47.000Z","","","Yes","1.0","a308c000000BgpiAAC","a2zHo0000022d8yIAA","","false"
"a2z8c000000Blf6AAC","0058c00000BxeO9AAJ","false","O-001212","2024-03-05T13:23:10.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:47.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:47.000Z","","","No","2.0","a308c000000BgpiAAC","a2zHo0000022d8zIAA","","false"
"a2z8c000000Blf7AAC","0058c00000BxeO9AAJ","false","O-001213","2024-03-05T13:23:10.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:47.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:47.000Z","","","No","2.0","a308c000000BgpgAAC","a2zHo0000022d90IAA","","false"
"a2z8c000000Blf8AAC","0058c00000BxeO9AAJ","false","O-001214","2024-03-05T13:23:10.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:47.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:47.000Z","","","Yes","1.0","a308c000000BgpdAAC","a2zHo0000022d91IAA","","false"
"a2z8c000000Blf9AAC","0058c00000BxeO9AAJ","false","O-001215","2024-03-05T13:23:10.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:47.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:47.000Z","","","Yes - By selecting this option, this record will be marked HMDA Reportable","1.0","a308c000000BgpjAAC","a2zHo0000022d92IAA","","false"
"a2z8c000000BlfAAAS","0058c00000BxeO9AAJ","false","O-001216","2024-03-05T13:23:10.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:47.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:47.000Z","","","Yes - By selecting this option, this record will be marked as an Employee Loan","1.0","a308c000000BgpkAAC","a2zHo0000022d93IAA","","false"
"a2z8c000000BlfBAAS","0058c00000BxeO9AAJ","false","O-001217","2024-03-05T13:23:10.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:47.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:47.000Z","","","No","2.0","a308c000000BgplAAC","a2zHo0000022d94IAA","","false"
"a2z8c000000BlfCAAS","0058c00000BxeO9AAJ","false","O-001218","2024-03-05T13:23:10.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:47.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:47.000Z","","","No","2.0","a308c000000BgpmAAC","a2zHo0000022d97IAA","","false"
"a2z8c000000BlfDAAS","0058c00000BxeO9AAJ","false","O-001219","2024-03-05T13:23:10.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:47.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:47.000Z","","","No","2.0","a308c000000BgpnAAC","a2zHo0000022d98IAA","","false"
"a2z8c000000BlfEAAS","0058c00000BxeO9AAJ","false","O-001220","2024-03-05T13:23:10.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:47.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:47.000Z","","","Yes","1.0","a308c000000BgpoAAC","a2zHo0000022d99IAA","","false"
