"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastViewedDate","LastReferencedDate","nFORCE__Form_Type__c","nFORCE__Group__c","nFORCE__Is_Archived__c","nFORCE__Is_Required__c","nFORCE__Label__c","nFORCE__Order__c","nFORCE__lookupKey__c","nFORCE__Api_Key__c","nFORCE__Default_Text_Answer__c","nFORCE__Classification_Tag__c","nFORCE__Help_Text__c","nFORCE__Maximum__c","nFORCE__Minimum__c","nFORCE__Target_Answer_Field__c","AutorabitExtId__c"
"a308c000000BgpVAAS","0058c00000BxeO9AAJ","false","Q-000472","2023-10-31T13:56:27.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:42.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:42.000Z","","","Picklist","a2B8c000000OrYLEA0","false","false","The borrower contributed the amount of capital required, described above, prior to the bank advancing any funds under the credit facility?","3.0","a30Ho000006ve99IAA","","","","","","","",""
"a308c000000BgpWAAS","0058c00000BxeO9AAJ","false","Q-000473","2023-10-31T13:56:27.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:42.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:42.000Z","","","Picklist","a2B8c0000076lQREAY","false","false","How often do you send money out of the country?","0.0","a30Ho000006ve9PIAQ","","","","","","","",""
"a308c000000BgpXAAS","0058c00000BxeO9AAJ","false","Q-000474","2023-10-31T13:56:27.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:42.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:42.000Z","","","Picklist","a2B8c0000076lQREAY","false","false","How do you typically make your deposits?","1.0","a30Ho000006ve9XIAQ","","","","","","","",""
"a308c000000BgpYAAS","0058c00000BxeO9AAJ","false","Q-000475","2023-10-31T13:56:27.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:42.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:42.000Z","","","Picklist","a2B8c0000076lQREAY","false","false","Do you typically make cash deposits?","2.0","a30Ho000006ve9VIAQ","","","","","","","",""
"a308c000000BgpZAAS","0058c00000BxeO9AAJ","false","Q-000476","2023-10-31T13:56:27.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:42.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:42.000Z","","","Picklist","a2B8c0000076lQREAY","false","false","May I ask you a few more questions to better understand your needs?","4.0","a30Ho000006ve9QIAQ","","","","","","","",""
"a308c000000BgpaAAC","0058c00000BxeO9AAJ","false","Q-000477","2023-10-31T13:56:27.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:42.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:42.000Z","","","Picklist","a2B8c000000OrYPEA0","true","false","I certify that this loan has been marked HMDA Reportable and the applicable loan details have been populated.","4.0","a30Ho000006ve8qIAA","","","","","","","",""
"a308c000000BgpbAAC","0058c00000BxeO9AAJ","false","Q-000478","2023-10-31T13:56:27.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:42.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:42.000Z","","","Picklist","a2B8c000000OrYPEA0","false","false","Is this loan secured by a residential dwelling including: 1-2 Family home (condominium) Manufactured housing (with or without land) Multi-family dwelling (five or more units)?","0.0","a30Ho000006ve8pIAA","","","","","","","",""
"a308c000000BgpcAAC","0058c00000BxeO9AAJ","false","Q-000479","2023-10-31T13:56:27.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:42.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:42.000Z","","","Picklist","a2B8c000000OrYPEA0","false","false","Is this loan purpose to purchase, improve, or refinance a dwelling?","1.0","a30Ho000006ve8rIAA","","","","","","","",""
"a308c000000BgpdAAC","0058c00000BxeO9AAJ","false","Q-000480","2023-10-31T13:56:27.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:42.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:42.000Z","","","Picklist","a2B8c000000OrYPEA0","true","false","Is the loan (not secured by residential dwelling) for the purpose of imporving (repair, rehabilitation, or renovating) a residential dwelling AND the bank classified it as a home improvement loan?","2.0","a30Ho000006ve8sIAA","","","","","","","",""
"a308c000000BgpeAAC","0058c00000BxeO9AAJ","false","Q-000481","2023-10-31T13:56:27.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:42.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:42.000Z","","","Picklist","a2B8c000000OrYPEA0","false","false","Is this loan a construction-only, bridge loan, or other temporary financing expected to be replaced with permanent financing?","3.0","a30Ho000006ve8oIAA","","","","","","","",""
"a308c000000BgpfAAC","0058c00000BxeO9AAJ","false","Q-000482","2023-10-31T13:56:27.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:42.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:42.000Z","","","Picklist","a2B8c000000OrYPEA0","true","false","I certify that this loan IS NOT HMDA Reportable.","4.0","a30Ho000006ve8tIAA","","","","","","","",""
"a308c000000BgpgAAC","0058c00000BxeO9AAJ","false","Q-000483","2023-10-31T13:56:27.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:42.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:42.000Z","","","Picklist","a2B8c000000OrYJEA0","false","false","Is any borrower, co-borrower, or guarantor an executive officer, director, or principal shareholder of that bank, of a bank holding company of which the member bank is a subsidiary, and of any other subsidiary of that bank holding company?","0.0","a30Ho000006ve8uIAA","","","","","","","",""
"a308c000000BgphAAC","0058c00000BxeO9AAJ","false","Q-000484","2023-10-31T13:56:27.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:42.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:42.000Z","","","Picklist","a2B8c000000OrYJEA0","true","false","If any borrower, co-borrower, or guarantor of this loan is an employee of the bank or any affiliates, I certify I have indicated this is an ""Employee Loan"".","1.0","a30Ho000006ve8vIAA","","","","","","","",""
"a308c000000BgpiAAC","0058c00000BxeO9AAJ","false","Q-000485","2023-10-31T13:56:27.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:42.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:42.000Z","","","Picklist","a2B8c000000OrYJEA0","true","false","I certify this loan has been marked as ""Reg O Reportable"".","2.0","a30Ho000006ve8wIAA","","","","","","","",""
"a308c000000BgpjAAC","0058c00000BxeO9AAJ","false","Q-000486","2023-10-31T13:56:27.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:42.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:42.000Z","","","Picklist","a2B8c000000OrYPEA0","false","false","I certify that this loan has been marked HMDA Reportable and the applicable loan details have been populated.","4.0","a30Ho000006ve8xIAA","","","","","","","",""
"a308c000000BgpkAAC","0058c00000BxeO9AAJ","false","Q-000487","2023-10-31T13:56:27.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:42.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:42.000Z","","","Picklist","a2B8c000000OrYJEA0","false","false","If any borrower, co-borrower, or guarantor of this loan is an employee of the bank or any affiliates, I certify I have indicated this is an ""Employee Loan"".","1.0","a30Ho000006ve8yIAA","","","","","","","",""
"a308c000000BgplAAC","0058c00000BxeO9AAJ","false","Q-000488","2023-10-31T13:56:27.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:42.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:42.000Z","","","Picklist","a2B8c000000OrYJEA0","false","false","I certify this loan has been marked as ""Reg O Reportable"".","2.0","a30Ho000006ve8zIAA","","","","","","","",""
"a308c000000BgpmAAC","0058c00000BxeO9AAJ","false","Q-000489","2023-10-31T13:56:27.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:42.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:42.000Z","","","Picklist","a2B8c000000OrYMEA0","false","false","Is this loan HMDA reportable?","0.0","a30Ho000006ve90IAA","","","","","","","",""
"a308c000000BgpnAAC","0058c00000BxeO9AAJ","false","Q-000490","2023-10-31T13:56:27.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:42.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:42.000Z","","","Picklist","a2B8c000000OrYMEA0","false","false","Is this loan a renewal, extension or modification of a previously HMDA reportable file?","1.0","a30Ho000006ve91IAA","","","","","","","",""
"a308c000000BgpoAAC","0058c00000BxeO9AAJ","false","Q-000491","2023-10-31T13:56:27.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:42.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:42.000Z","","","Picklist","a2B8c000000OrYMEA0","false","false","Is this loan for business purposes?","2.0","a30Ho000006ve92IAA","","","","","","","",""
"a308c000000BgppAAC","0058c00000BxeO9AAJ","false","Q-000492","2023-10-31T13:56:27.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:42.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:42.000Z","","","Picklist","a2B8c000000OrYMEA0","false","false","Is the loan amount $1 Million or less?","3.0","a30Ho000006ve93IAA","","","","","","","",""
"a308c000000BgpqAAC","0058c00000BxeO9AAJ","false","Q-000493","2023-10-31T13:56:27.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:42.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:42.000Z","","","Picklist","a2B8c000000OrYMEA0","false","false","Is this loan an origination?","4.0","a30Ho000006ve94IAA","","","","","","","",""
"a308c000000BgprAAC","0058c00000BxeO9AAJ","false","Q-000494","2023-10-31T13:56:27.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:42.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:42.000Z","","","Picklist","a2B8c000000OrYMEA0","false","false","I certify that this loan is CRA reportable?","6.0","a30Ho000006ve95IAA","","","","","","","",""
"a308c000000BgpsAAC","0058c00000BxeO9AAJ","false","Q-000495","2023-10-31T13:56:27.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:42.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:42.000Z","","","Picklist","a2B8c000000OrYLEA0","false","true","Will this loan be used for construction of:","0.0","a30Ho000006ve96IAA","","","","","","","",""
"a308c000000BgptAAC","0058c00000BxeO9AAJ","false","Q-000496","2023-10-31T13:56:27.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:42.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:42.000Z","","","Picklist","a2B8c000000OrYLEA0","false","false","Is the LTV ratio less than or equal to the applicable maximum supervisory LTV ratio?","1.0","a30Ho000006ve97IAA","","","","","","","",""
"a308c000000BgpuAAC","0058c00000BxeO9AAJ","false","Q-000497","2023-10-31T13:56:27.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:42.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:42.000Z","","","Picklist","a2B8c000000OrYLEA0","false","false","Has the borrower contributed capital to the project in the form of cash or unencumbered readily marketable assets (must contribute to the project) estate's appraised ""as completed"" value?","2.0","a30Ho000006ve98IAA","","","","","","","",""
"a308c000000BgpvAAC","0058c00000BxeO9AAJ","false","Q-000498","2023-10-31T13:56:27.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:42.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:42.000Z","","","Picklist","a2B8c000000OrYLEA0","false","false","The capital contributed by the borrower, or internally generated by the project, is contractually required to remain in the project throughout the life of the project?","4.0","a30Ho000006ve9AIAQ","","","","","","","",""
"a308c000000BgpwAAC","0058c00000BxeO9AAJ","false","Q-000499","2023-10-31T13:56:27.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:42.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:42.000Z","","","Picklist","a2B8c000000OrYLEA0","false","false","I certify this transaction has been indicated as a HVCRE reportable transaction?","5.0","a30Ho000006ve9BIAQ","","","","","","","",""
"a308c000000BgpxAAC","0058c00000BxeO9AAJ","false","Q-000500","2023-10-31T13:56:27.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:42.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:42.000Z","","","Picklist","a2B8c000000OrYREA0","false","false","What is your expected annual revenue?","0.0","a30Ho000006ve9CIAQ","","","","","","","",""
"a308c000000BgpyAAC","0058c00000BxeO9AAJ","false","Q-000501","2023-10-31T13:56:27.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:42.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:42.000Z","","","Picklist","a2B8c000000OrYREA0","false","false","What is your expected annual expenses?","1.0","a30Ho000006ve9DIAQ","","","","","","","",""
"a308c000000BgpzAAC","0058c00000BxeO9AAJ","false","Q-000502","2023-10-31T13:56:27.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:42.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:42.000Z","","","Picklist","a2B8c000000OrYREA0","false","false","Do you expect to conduct international transactions?","2.0","a30Ho000006ve9EIAQ","","","","","","","",""
"a308c000000Bgq0AAC","0058c00000BxeO9AAJ","false","Q-000503","2023-10-31T13:56:27.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:42.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:42.000Z","","","Picklist","a2B8c000000OrYREA0","false","false","How much will your business deposit in cash on a daily basis?","4.0","a30Ho000006ve9FIAQ","","","","","","","",""
"a308c000000Bgq1AAC","0058c00000BxeO9AAJ","false","Q-000504","2023-10-31T13:56:27.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:42.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:42.000Z","","","Picklist","a2B8c000000OrYREA0","false","false","How long have you been in business?","5.0","a30Ho000006ve9GIAQ","","","","","","","",""
"a308c000000Bgq2AAC","0058c00000BxeO9AAJ","false","Q-000505","2023-10-31T13:56:27.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:42.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:42.000Z","","","Picklist","a2B8c000000OrYREA0","false","false","What amount do you intend to maintain in this account?","6.0","a30Ho000006ve9HIAQ","","","","","","","",""
"a308c000000Bgq3AAC","0058c00000BxeO9AAJ","false","Q-000506","2023-10-31T13:56:27.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:42.000Z","0058c00000BxeO9AAJ","2025-07-10T00:09:42.000Z","","","Picklist","a2B8c000000OrYREA0","false","false","How will you be using this account?","7.0","a30Ho000006ve9IIAQ","","","","","","","",""
